NO,논문ID,논문명,논문 외국어명,저자,공동저자,학술지 명,학술지 외국어 명,발행기관 명,발행기관 외국어 명,등재 구분,발행년,권(호),페이지,논문번호,키워드(한국어),키워드(외국어),주제분야,피인용횟수,URL,DOI
85,ART002360483,"자연-인간-기술, 혼성적 예술 주체성에 관한 연구 - 기술적 대상의 자기-조직화를 중심으로","Nature-Human-Technology, A study on hybrid subjectivity of art : Focussing on self-organization of technical object",유원준(홍익대학교),,문화와융합,Culture and Convergence,인문사회예술융합학회,The Society of Convergence of Humanities Social Science and Arts,등재,201806,40(3),pp.197~226,,"인공지능예술, 발생예술, 사이버네틱스, 포스트휴머니즘, 기술의 지능화","Artifical Intelligence, Generative Art, Cybernetics, Posthumanism, Intelligent Technology",학제간연구,3,,https://doi.org/10.33645/cnc.2018.06.40.3.197
86,ART002465296,영화 <파란만장>에 나타난 욕망과 포스트시네마적인 특성에 대하여,About the Post-Cinematic Characteristics and Desire Shown in a Film <Night Fishing>,손성우(부산대학교 영화연구소),,한국엔터테인먼트산업학회논문지,Journal of Korea Entertainment Industry Association,한국엔터테인먼트산업학회,The Korea Entertainment Industry Association,등재,201904,13(3),pp.121~129,,"영화 <파란만장>, 포스트시네마, 타자의 욕망, 라캉 정신분석학, 매개와 상호작용","Film <Night Fishing>, Post-Cinema, Other’s Desire, Lacanian Psychoanalysis, Mediation and Interaction",학제간연구,2,,https://doi.org/10.21184/jkeia.2019.4.13.3.121
87,ART001922102,호모 몬스터쿠스：메리 셸리의 『프랑켄슈타인』의 괴물,Homo monstercus：The Monster in Mary Shelley’s Frankenstein,주기화(건국대학교),,인문논총,,인문과학연구소,"Institute for Human studies, Kyungnam University",등재,201410,35(),pp.279~299,,"프랑켄슈타인, 호모 몬스터쿠스, 괴물-되기, 포스트휴먼, 행위자 연결망이론(ANT), 브루노 라투르, 미셸 칼롱","Frankenstein, Homo monstercus, becoming monster, posthuman, Actor Network Theory(ANT), Bruno Latour, Michel Callon",기타인문학,4,,
88,ART002636926,버추얼 유튜버의 주체화 연구,A Study on Subjectivity of Virtual YouTuber,김초영(이화여자대학교 융합콘텐츠학과),한혜원(이화여자대학교),인문콘텐츠,Humanities Contents,인문콘텐츠학회,Korea Humanities Content Society,우수등재,202009,(58),pp.187~209,,"버추얼 유튜버, 포스트휴먼, 유튜브, 상호작용, 인간-기계 네트워크, 주체화",,기타인문학,16,,
89,ART002778223,첨단기술발달시대에 인간과 자연의 관계 변화와 기독교교육의 패러다임 전환,"Changes in Relations between Humanity and Nature, and Its Ensuing Paradigm Shift in Christian Education",이은경(감리교 신학대학교),,신학과 실천,Theology and Praxis,한국실천신학회,The Korean Society for Practical Theology,등재,202111,(77),pp.509~532,,"첨단기술사회, 공산(sympoiesis)의 실뜨기, 어린이다움, 탈성장, 해러웨이","High-Tech Society, the Cat’s Cradle of Sympoiesis, Childishness, Degrowth, Haraway",기독교신학,4,,10.14387/jkspth.2021.77.509
90,ART002735468,러브크래프트와 철학 : 반우주로서 생명,Lovecraft and Philosophy : Life as Anti-Cosmos,주재형(단국대학교),,현상학과 현대철학,,한국현상학회,Korean Society For Phenomenology,등재,202106,(89),pp.73~118,,"러브크래프트, 시몽동, 프리고진, 들뢰즈, 가타리, 바르바라스, 공포문학, 우주론, 생명철학, 유물론, 새로운 유물론, 생기 유물론, 사변적 실재론, 벌거벗은 생명주의","Lovecraft, Simondon, Prigogine, Deleuze, Guattari, Barbaras, Horror Literature, Cosmology, Philosophy of Life, New Materialism, Vital Materialism, Speculative Realism, Naked Vitalism",철학,3,,
91,ART002269282,초 연결 사회에서 기술에 대한 새로운 접근 - 연결에서 관계형성으로,A New Approach to Technology in the hyper Connected Society: from Connection to Relationship,심지원(인제대학교 인간환경미래연구원),,감성연구,Emotion Studies,호남학연구원,Institute of Honam Studies,등재,201709,(15),pp.173~192,,"초 연결 사회, 인간, 기술, 연결, 관계","Hyper Connected Society, Human, Technology, Connection, Relationship",기타인문학,3,,https://doi.org/10.37996/JOG.15.7
92,ART002072966,혁명기 예술의 과제 : 1920년대 초반 러시아아방가르드의 사례를 중심으로,Tasks of Arts in the Revolutionary Period: Focusing the Examples of Russian Avant-Gardes in the Early 1920s,심광현(한국예술종합학교),,시대와 철학,EPOCH AND PHILOSOPHY -A Journal of Philosophical Thought in Korea-,한국철학사상연구회,HANPHIL,등재,201512,26(4),pp.119~186,,"러시아 아방가르드, 구성주의, 지각적 밀레니엄주의, 사물화와 인격화, 대상성과 주체성.","Russian Avant-Gard, Constructivism, Perceptual Millenarianism, Thingification and Personification, Objectivity and Subjectivity",철학,2,,
93,ART001690162,들뢰즈의 표현적 유물론,Deleuze’s Expressive Materialism,김재희(성균관대학교),,철학사상,CHUL HAK SA SANG - Journal of Philosophical Ideas,철학사상연구소,"Institute of Philosophy, Seoul National University",등재,201208,(45),pp.131~162,,"들뢰즈, 유물론, 물질, 강도, 비유기적 생명","Deleuze, materialism, matter, intensity, nonorganic life",철학,10,http://philinst.snu.ac.kr/thought/45/05. 김재희df,
94,ART002587113,"생태공동체 모델 구축을 위한 인간, 자연, 기술 개념 연구","A Study on the Concepts of Human, Nature, and Technology for an Ecological Community Model Formation",심귀연(경상대학교),,철학논총,"CHULHAK-RONCHONG, Journal of the New Korean Philosophical Association",새한철학회,The New Korean Philosophical Association,등재,202004,100(2),pp.97~114,,"자연, 인간, 기술, 인공지능, 생태적 장","Nature, Human, Tech, AI, Ecological field",철학,8,,
95,ART001826069,들뢰즈의 기관없는 신체와 개체성의 문제 - 헤겔의 유기체와 개별자에 대한 들뢰즈의 비판 -,The Problem of Deleuze's a body without organs and an individuality - Deleuze's critique on the Hegel's organism and individual -,연효숙(연세대학교),,헤겔연구,Hegel-Studien (Hegel-Yeongu),한국헤겔학회,Koreanische Hegel-Gesellschaft,등재,201312,(34),pp.259~280,,"개별자, 개체화, 유기체, 기관없는 신체, 횡단적 개체성","individual, individuation, organism, a body without organs, traversal individuality",철학,11,,
96,ART002704650,이음체의 관점에 기초한 민족과 민족주의의 한국적 재구성,Reconceptualization of Nation and Nationalism in Korean Context Based on the View of Seriality,이용승(대구대학교),,국제정치연구,THE JOURNAL OF INTERNATIONAL RELATIONS,동아시아국제정치학회,The East Asian Association Of International Studies (Eaais),등재,202103,24(1),pp.31~57,,"민족, 민족주의, 이음체, 개체화, 통합","Nation, Nationalism, Seriality, Individuation, Integration",정치외교학,0,,https://doi.org/10.15235/jir.2021.03.24.1.31
97,ART002291128,"인간과 디지털 존재의 관계: 관계의 물질성, 비소유성, 개체초월성","The Relationship between Human Beings and Digital Beings: Embodied, Non-possessive, and Transindividual Relationship",박선희(조선대학교),,한국언론정보학보,Korean Journal of Communication & Information,한국언론정보학회,,등재,201712,86(6),pp.42~68,,"디지털 존재, 인공지능, 포스트휴머니즘, 관계적 실재, 육화, 비소유성, 개체초월성, 영화 <그녀>","digital being, artificial intelligence, posthumanism, relational ontology, embodiment, non-possessiveness, transindividuality, movie <Her>",신문방송학,13,,10.46407/kjci.2017.12.86.42
98,ART002099030,들뢰즈에게 있어서 개체화의 문제에 관한 연구 - 둔스 스코투스의 <이것임>과 관련한 맥락에서,A Study on the Problem of the Individuation at Gilles Deleuze,신지영(경상대학교),,대동철학,Journal of the Daedong Philosophical Association,대동철학회,The Daedong Philosophical Association,등재,201603,(74),pp.75~101,,"개체화, 이것임, 형상적 구별, 사건, 강도.","Individuation, Thisness, Formal distinction, Event, Intensity.",철학,8,,http://dx.doi.org/10.20539/deadong.2016.74.04.
99,ART001344214,베르그손의 『창조적 진화』 다시 읽기 ― 들뢰즈의 해석을 중심으로 ―,Relire L'évolution créatrice selon l'interprétation de Deleuze,황수영(서울대학교),,철학,CHEOLHAK: Korean Journal of Philosophy,한국철학회,Korean Philosophical Association,등재,200905,(99),pp.175~198,,"진화, 잠재성, 배발생학, 차이, 강도, 개체화","évolution, virtualité, embryologie, différence, intensité, individuation",철학,3,,
100,ART001546787,들뢰즈에서 생명의 잠재성에 대한 형이상학적 의미,The Metaphyical Meaning of Virtuality of Life in Deleuze,연효숙(중앙대학교),,가톨릭철학,The Catholic Philosophy,한국가톨릭철학회,The Korean Associotion Of Philosophers,등재,201104,(16),pp.75~98,,"생명, 잠재성, 다양체, 발생, 분화, 개체성","life, virtuality, multiplicity, genesis, differenciation, individuality",철학,9,,
101,ART002469850,개체화론으로 바라본 영화의 패러디 - <레디 플레이어 원> 속 <샤이닝> -,Parody in the Film Viewed through the Theory of Individuation: <The Shining> in <Ready Player One>,박광택(건국대학교),배상준(건국대학교),글로벌문화콘텐츠,Global Cultural Contents,글로벌 문화콘텐츠학회,Academic Association of Global Cultural Contents,등재,201905,(39),pp.66~94,,"패러디, 초맥락화, 개체화론, <레디 플레이어 원>, <샤이닝>","parody, trans-contextualization, individuation, <Ready Player One>, <The Shining>",기타인문학,1,,https://doi.org/10.32611/jgcc.2019.5.39.66
