NO,논문ID,논문명,논문 외국어명,저자,공동저자,학술지 명,학술지 외국어 명,발행기관 명,발행기관 외국어 명,등재 구분,발행년,권(호),페이지,논문번호,키워드(한국어),키워드(외국어),주제분야,피인용횟수,URL,DOI
45,ART003313825,AI 이미지 생성 콘텐츠를 통해 본 인간-기술의 개체화 의미 고찰: 실감형 전시콘텐츠 <A.I. 김홍도 : 붓선 ver.1.0> 중심으로,,오세현(성균관대학교 트랜스미디어연구소),,트랜스-,trans-,트랜스미디어연구소,TRANS MEDIA INSTITUTE,등재,202602,20(),pp.117~164,,"인공지능(A.I.), 질베르 시몽동, 개체화, 공동 개체화, 변환, 실감형 전시 콘텐츠, <A.I. 김홍도 - 붓선 ver.1.0>",,뉴미디어,0,,
46,ART002065510,시몽동의 생성의 존재론에서 물질과 생명의 연속성과 불연속성,Continuity and Discontinuity from Matter to Life in the Simondonian Ontology of Becoming,황수영(세종대학교),,철학연구,Journal of The Society of philosophical studies,철학연구회,The Society Of Philosophical Studies,등재,201512,(111),pp.93~121,,"생성, 존재, 준안정성, 특이성, 창발성","becoming, being, metastability, singularity, emergence",철학,8,,
47,ART003229523,"21세기 전환기 한국 재난영화의 디지털 VFX와 기술미학: <용가리>(1999), <싸이렌>(2000), <리베라 메>(2000), <튜브>(2003)를 중심으로","Digital VFX and the Technological Aesthetics of Korean Disaster films at the Turn of the 21st Century : Focused on Yonggary (1999), The Siren (2000), Libera Me (2000), and Tube (2003)",남기웅(국립부경대학교 융합미디어빅데이터연구소),,아시아영화연구,ASIAN CINEMA STUDIES,영화연구소,PNU Film Institute,등재,202507,18(2),pp.299~341,,"한국 재난영화, 디지털 VFX, 기술미학, 질베르 시몽동, 디지털 스펙터클, 메타적 자의식","Korean disaster films, digital VFX, technical aesthetics, digital spectacle, Gilbert Simondon, meta self-awareness",영화,0,,
48,ART002549310,질베르 시몽동(G.Simondon)의 기술철학에 근거한 디자인 사고(思考)의 방향성에 대한 연구,A Study on the Directionality of the Thinking for Design as Grounded on the Technology Philosophy of Gilbert Simondon,최성운(대진대학교),,상품문화디자인학연구,Journal of Cultural Product & Design,한국상품문화디자인학회,Korea Institute of Cultural Product & Design,등재,201912,(59),pp.73~86,,"기술철학, 개체화, 이완법칙, 새로운 휴머니즘, 기술문화","Techno- philosophy, Individuation, The law of relaxation, New humanism, Technology culture",디자인일반,2,,
49,ART003249387,"결정(結晶)의 시간, 크로노스(Cronos)의 시간: 들뢰즈 후기 시간론 연구","Time of Crystal, Time of Cronus - A Study on the Concept of Time in Deleuze’s Later Works",변예은(서울시립대학교),,현상학과 현대철학,,한국현상학회,Korean Society For Phenomenology,등재,202509,(106),pp.129~160,,"시간-이미지, 시간의 결정, 결정화, 자기-촉발, 내감의 역설","crystal-image, crystal of time, crystallisation, self-affection, paradox of inner sense",철학,0,,
50,ART001758369,디지털 아트의 상호작용적 ‘관계’에 대한 탐색 －시몽동의 개체화와 기술에 대한 사유를 중심으로－,La recherche sur ‘la relation’ interactive dans l’art digital －au moyen de la pensée de Gilbert Simondon sur l’individuation et la technologie－,김화자(명지대학교),,현상학과 현대철학,,한국현상학회,Korean Society For Phenomenology,등재,201303,(56),pp.207~241,,"시몽동, 디지털 아트, 정보, 상호작용적 관계, 교환역학, 관(貫)개체적인 것, 애스콧, 텔레노이아, 집단","Allagmatique, Ascott, Collective, Information, The Transindividual, Digital art, Interactive relation, Simondon, Telenoia",철학,6,,
51,ART002772055,시몽동의 기술철학에서 규범성의 문제: 생명적 규범성과 사회적 규범성 사이에서,Normativity in the Simondonian Philosophy of Technology between Vital Normativity and Social Normativity,황수영(홍익대학교),,근대 철학,Modern Philosophy,서양근대철학회,,등재,202110,18(),pp.51~90,,"기술적 규범성, 생명적 규범성, 구체화, 개별화, 발명적 사유","Technical Normativity, Vital Normativity, Concretisation, Individualisation, Inventive Thinking",철학,1,,
52,ART002485322,질베르 시몽동(Gilbert Simondon)의 개체화 이론에 근거한 디자인 개발의 본질과 원리에 대한 연구,A Study on the Essence and Principles of Design Development Based on Individuation Theory of Gilbert Simondon,최성운(대진대학교),,상품문화디자인학연구,Journal of Cultural Product & Design,한국상품문화디자인학회,Korea Institute of Cultural Product & Design,등재,201906,(57),pp.33~42,,"개체, 개체화, 구체화, 발명(발생), 결정화","Individual, Individuation, Actualization, Generation, Crystallization",디자인일반,2,,https://doi.org/10.18555/kicpd.2019.57.04
53,ART002357507,"포스트휴먼 담론의 사유와 미학적-윤리적 역량 연구 : 시몽동과 들뢰즈, 과타리의 인간-기계 사유를 중심으로",Post-human Discourse and Aesthetic-ethical Competence : Rethinking the Human-Machine Relationship,강진숙(중앙대학교),,한국언론학보,Korean Journal of Journalism & Communication,한국언론학회,Korean Society For Journalism And Communication Studies,우수등재,201806,62(3),pp.385~414,,"포스트휴먼, 시몽동, 들뢰즈, 과타리(가타리), 기계","Post Human, Simondon, Deleuze, Guattari, Machine",신문방송학,14,,https://doi.org/10.20879/kjjcs.2018.62.3.013
54,ART003308721,알고리즘 영상문화의 파르마콘적 양가성에 관한 신경정신분석적 고찰,,박제철(서울대학교),,현대정신분석,The Journal of Contemporary Psychoanalysis,한국현대정신분석학회,The Korean Society for Contemporary Psychoanalysis,등재,202602,28(1),pp.165~208,,"신경정신분석, 알고리즘 영상문화, 정동적 의식, 인공지능, 기술철학",,기타인문학,0,,
